Session_ID,Session_Date,Customer_ID,Channel,Device,Product_View,Add_to_Cart,Checkout,Purchase
S00236,2025-07-29,CUST0370,Direct,Mobile,1,1,1,0
S00237,2025-09-16,CUST0164,Google Ads,Tablet,0,0,0,0
S00238,2025-10-21,CUST0303,Instagram,Desktop,0,0,0,0
S00239,2025-02-11,CUST0450,Organic,Desktop,1,1,1,1
S00240,2025-10-31,CUST0928,Direct,Mobile,1,1,0,0
S00241,2025-01-13,CUST0544,Organic,Mobile,0,0,0,0
S00242,2025-03-30,CUST0710,Direct,Mobile,0,0,0,0
S00243,2025-03-29,CUST0502,Organic,Mobile,1,1,0,0
S00244,2025-11-08,CUST0351,Organic,Desktop,1,1,1,1
S00245,2025-07-06,CUST0379,Organic,Mobile,1,0,0,0
S00246,2025-03-04,CUST0439,Direct,Mobile,0,0,0,0
S00247,2025-12-02,CUST0201,Organic,Mobile,0,0,0,0
S00248,2025-02-12,CUST0107,Instagram,Mobile,1,0,0,0
S00249,2025-08-21,CUST0505,Instagram,Mobile,0,0,0,0
S00250,2025-08-22,CUST0384,Organic,Mobile,1,1,1,1
S00251,2025-03-16,CUST0848,Google Ads,Mobile,1,1,1,0
S00252,2025-09-10,CUST0857,Direct,Mobile,1,1,0,0
S00253,2025-11-09,CUST0296,Direct,Desktop,1,0,0,0
S00254,2025-05-29,CUST0028,Organic,Desktop,1,1,1,1
S00255,2025-07-01,CUST0337,Direct,Mobile,0,0,0,0
S00256,2025-07-26,CUST0287,Google Ads,Mobile,1,1,0,0
S00257,2025-06-30,CUST0631,Instagram,Mobile,1,1,0,0
S00258,2025-06-22,CUST0343,Google Ads,Desktop,0,0,0,0
S00259,2025-08-29,CUST0031,Organic,Desktop,0,0,0,0
S00260,2025-06-13,CUST0666,Direct,Mobile,1,0,0,0
S00261,2025-03-04,CUST0772,Google Ads,Desktop,1,0,0,0
S00262,2025-08-23,CUST0487,Organic,Desktop,1,0,0,0
S00263,2025-05-05,CUST0619,Google Ads,Mobile,1,1,1,1
S00264,2025-09-14,CUST0251,Google Ads,Mobile,0,0,0,0
S00265,2025-04-02,CUST0363,Google Ads,Desktop,1,1,0,0
S00266,2025-08-13,CUST0107,Instagram,Mobile,0,0,0,0
S00267,2025-07-14,CUST0506,Google Ads,Mobile,1,1,0,0
S00268,2025-07-26,CUST0442,Google Ads,Desktop,1,1,1,1
S00269,2025-10-15,CUST0117,Email,Desktop,0,0,0,0
S00270,2025-08-03,CUST0245,Direct,Tablet,1,0,0,0
S00271,2025-07-05,CUST0079,Organic,Mobile,1,1,1,1
S00272,2025-05-06,CUST0741,Google Ads,Desktop,1,1,0,0
S00273,2025-10-09,CUST0486,Email,Desktop,1,1,0,0
S00274,2025-09-12,CUST0023,Organic,Desktop,1,1,1,1
S00275,2025-03-02,CUST0197,Direct,Desktop,1,0,0,0
S00276,2025-07-20,CUST0361,Instagram,Mobile,1,0,0,0
S00277,2025-03-10,CUST0700,Direct,Desktop,1,1,1,1
S00278,2025-10-12,CUST0427,Email,Mobile,0,0,0,0
S00279,2025-03-04,CUST0217,Google Ads,Mobile,1,1,1,1
S00280,2025-05-14,CUST0990,Direct,Desktop,1,1,1,1
S00281,2025-08-27,CUST0759,Direct,Tablet,0,0,0,0
S00282,2025-09-09,CUST0666,Direct,Mobile,1,1,1,0
S00283,2025-12-27,CUST0707,Email,Desktop,0,0,0,0
S00284,2025-07-06,CUST0628,Instagram,Mobile,1,1,1,0
S00285,2025-01-21,CUST0196,Direct,Mobile,1,1,1,0
S00286,2025-12-09,CUST0567,Email,Mobile,1,0,0,0
S00287,2025-10-18,CUST0687,Instagram,Tablet,0,0,0,0
S00288,2025-11-04,CUST0978,Direct,Mobile,1,0,0,0
S00289,2025-02-15,CUST0443,Email,Mobile,1,1,1,1
S00290,2025-07-13,CUST0997,Google Ads,Mobile,0,0,0,0
S00291,2025-02-26,CUST0459,Google Ads,Mobile,1,1,1,0
S00292,2025-02-11,CUST0459,Direct,Mobile,0,0,0,0
S00293,2025-11-29,CUST0484,Instagram,Desktop,1,0,0,0
S00294,2025-08-23,CUST0144,Organic,Mobile,0,0,0,0
S00295,2025-12-20,CUST0314,Google Ads,Mobile,1,0,0,0
S00296,2025-01-16,CUST0875,Direct,Mobile,1,1,1,1
S00297,2025-05-13,CUST0729,Google Ads,Mobile,1,0,0,0
S00298,2025-01-01,CUST0257,Email,Desktop,1,1,0,0
S00299,2025-08-20,CUST0639,Organic,Desktop,1,1,1,0
S00300,2025-05-30,CUST0474,Email,Mobile,1,1,0,0
S00301,2025-10-31,CUST0685,Organic,Desktop,1,1,1,0
S00302,2025-05-02,CUST0606,Google Ads,Mobile,1,1,1,1
S00303,2025-10-09,CUST0499,Google Ads,Desktop,1,1,0,0
S00304,2025-10-17,CUST0902,Direct,Desktop,1,0,0,0
S00305,2025-11-10,CUST0219,Organic,Mobile,1,0,0,0
S00306,2025-08-01,CUST0564,Organic,Desktop,1,0,0,0
S00307,2025-10-08,CUST0531,Organic,Desktop,1,1,1,0
S00308,2025-05-20,CUST0358,Organic,Mobile,0,0,0,0
S00309,2025-06-08,CUST0237,Instagram,Mobile,1,0,0,0
S00310,2025-01-27,CUST0683,Direct,Mobile,1,0,0,0
S00311,2025-12-08,CUST0275,Instagram,Mobile,0,0,0,0
S00312,2025-06-11,CUST0807,Direct,Desktop,1,0,0,0
S00313,2025-04-28,CUST0876,Instagram,Mobile,1,1,1,1
S00314,2025-12-03,CUST0672,Direct,Desktop,1,1,0,0
S00315,2025-03-16,CUST0752,Organic,Mobile,1,1,1,1
S00316,2025-04-03,CUST0577,Direct,Mobile,1,0,0,0
S00317,2025-02-03,CUST0217,Email,Desktop,0,0,0,0
S00318,2025-04-25,CUST0559,Instagram,Mobile,1,0,0,0
S00319,2025-04-23,CUST0397,Google Ads,Mobile,1,0,0,0
S00320,2025-03-01,CUST0074,Direct,Mobile,1,1,1,1
S00321,2025-10-09,CUST0978,Google Ads,Mobile,1,1,0,0
S00322,2025-08-25,CUST0676,Instagram,Desktop,1,1,1,1
S00323,2025-05-06,CUST0982,Google Ads,Mobile,1,0,0,0
S00324,2025-02-14,CUST0710,Direct,Desktop,1,1,1,0
S00325,2025-10-15,CUST0923,Direct,Desktop,0,0,0,0
S00326,2025-08-17,CUST0328,Google Ads,Mobile,1,1,1,0
S00327,2025-07-16,CUST0408,Organic,Mobile,1,1,1,1
S00328,2025-07-31,CUST0148,Email,Mobile,0,0,0,0
S00329,2025-03-12,CUST0086,Direct,Desktop,1,1,1,1
S00330,2025-08-23,CUST0521,Google Ads,Desktop,1,1,1,1
S00331,2025-10-06,CUST0503,Instagram,Mobile,1,1,1,1
S00332,2025-06-16,CUST0765,Google Ads,Mobile,1,1,1,1
S00333,2025-07-14,CUST0232,Organic,Mobile,1,1,1,1
S00334,2025-06-22,CUST0888,Direct,Mobile,1,1,1,1
S00335,2025-07-14,CUST0498,Direct,Mobile,1,1,1,1
S00336,2025-03-04,CUST0423,Organic,Desktop,1,1,1,1
S00337,2025-03-11,CUST0467,Direct,Mobile,1,1,1,1
S00338,2025-08-11,CUST0247,Direct,Mobile,1,0,0,0
S00339,2025-11-06,CUST0370,Instagram,Desktop,1,0,0,0
S00340,2025-10-10,CUST0513,Google Ads,Desktop,1,0,0,0
S00341,2025-12-15,CUST0779,Organic,Mobile,1,1,0,0
S00342,2025-03-20,CUST0105,Organic,Desktop,1,1,1,0
S00343,2025-02-05,CUST0234,Google Ads,Mobile,0,0,0,0
S00344,2025-07-14,CUST0458,Organic,Tablet,1,0,0,0
S00345,2025-08-05,CUST0257,Direct,Desktop,1,1,0,0
S00346,2025-10-15,CUST0475,Direct,Desktop,1,1,1,0
S00347,2025-05-29,CUST0593,Organic,Mobile,1,0,0,0
S00348,2025-09-30,CUST0635,Organic,Mobile,1,0,0,0
S00349,2025-07-20,CUST0172,Instagram,Mobile,1,1,1,1
S00350,2025-06-03,CUST0819,Direct,Desktop,1,1,1,1
S00351,2025-01-22,CUST0273,Email,Mobile,1,1,1,1
S00352,2025-10-24,CUST0871,Email,Desktop,1,1,0,0
S00353,2025-11-11,CUST0759,Email,Mobile,1,1,1,1
S00354,2025-08-03,CUST0875,Organic,Desktop,1,1,1,0
S00355,2025-11-27,CUST0888,Instagram,Desktop,1,1,1,1
S00356,2025-05-02,CUST0194,Instagram,Mobile,1,1,1,1
S00357,2025-09-23,CUST0112,Google Ads,Desktop,1,1,1,1
S00358,2025-12-09,CUST0023,Google Ads,Mobile,1,1,0,0
S00359,2025-09-18,CUST0937,Organic,Mobile,1,1,1,1
S00360,2025-02-24,CUST0894,Instagram,Mobile,1,1,1,1
S00361,2025-10-09,CUST0315,Email,Mobile,0,0,0,0
S00362,2025-09-17,CUST0202,Instagram,Mobile,1,0,0,0
S00363,2025-12-29,CUST0501,Organic,Mobile,1,0,0,0
S00364,2025-10-10,CUST0618,Organic,Mobile,1,1,1,1
S00365,2025-08-18,CUST0606,Organic,Tablet,1,0,0,0
S00366,2025-05-06,CUST0995,Google Ads,Mobile,1,1,0,0
S00367,2025-09-16,CUST0025,Organic,Mobile,1,1,1,1
S00368,2025-02-19,CUST0657,Direct,Desktop,0,0,0,0
S00369,2025-08-12,CUST0508,Organic,Desktop,1,1,1,1
S00370,2025-10-09,CUST0366,Google Ads,Mobile,1,0,0,0
S00371,2025-05-26,CUST0531,Direct,Mobile,1,0,0,0
S00372,2025-02-14,CUST0722,Organic,Mobile,1,1,1,0
S00373,2025-09-19,CUST0594,Instagram,Desktop,1,0,0,0
S00374,2025-08-22,CUST0046,Instagram,Mobile,1,0,0,0
S00375,2025-02-22,CUST0035,Instagram,Mobile,1,1,0,0
S00376,2025-08-23,CUST0202,Google Ads,Mobile,1,0,0,0
S00377,2025-07-15,CUST0535,Instagram,Mobile,1,1,1,0
S00378,2025-01-04,CUST0365,Organic,Mobile,1,0,0,0
S00379,2025-03-01,CUST0470,Direct,Desktop,1,0,0,0
S00380,2025-06-22,CUST0300,Email,Mobile,1,1,1,1
S00381,2025-03-13,CUST0777,Organic,Desktop,0,0,0,0
S00382,2025-03-16,CUST0416,Google Ads,Desktop,1,0,0,0
S00383,2025-11-18,CUST0346,Organic,Mobile,0,0,0,0
S00384,2025-01-22,CUST0349,Organic,Mobile,1,0,0,0
S00385,2025-07-28,CUST0699,Organic,Desktop,1,1,1,0
S00386,2025-02-20,CUST0810,Email,Desktop,1,0,0,0
S00387,2025-05-25,CUST0190,Instagram,Mobile,1,1,1,1
S00388,2025-12-15,CUST0403,Direct,Mobile,0,0,0,0
S00389,2025-11-01,CUST0752,Instagram,Desktop,1,1,1,1
S00390,2025-09-29,CUST0349,Email,Mobile,1,1,0,0
S00391,2025-02-13,CUST0373,Organic,Mobile,1,0,0,0
S00392,2025-04-17,CUST0639,Google Ads,Desktop,1,0,0,0
S00393,2025-05-30,CUST0505,Instagram,Desktop,1,1,0,0
S00394,2025-04-04,CUST0291,Instagram,Desktop,0,0,0,0
S00395,2025-09-21,CUST0972,Direct,Desktop,1,0,0,0
S00396,2025-04-20,CUST0904,Organic,Mobile,1,1,1,1
S00397,2025-01-18,CUST0985,Direct,Mobile,1,0,0,0
S00398,2025-08-26,CUST0987,Email,Mobile,1,1,1,1
S00399,2025-12-02,CUST0111,Instagram,Desktop,1,1,1,1
S00400,2025-08-27,CUST0555,Direct,Mobile,0,0,0,0
S00401,2025-07-31,CUST0503,Organic,Desktop,1,1,1,0
S00402,2025-08-19,CUST0301,Instagram,Mobile,1,1,1,1
